test_type,timestamp,latency_ms,payload_size,success
websocket,7570.452237995,5.7907,39,True
websocket,7570.468949081,1.3017,39,True
websocket,7570.489862994,1.2838,39,True
websocket,7570.510769605,1.2171,39,True
websocket,7570.531134706,1.3148,39,True
websocket,7570.551946584,1.2283,39,True
websocket,7570.572493829,1.3855,39,True
websocket,7570.59291203,1.2480,39,True
websocket,7570.613751055,1.1578,39,True
websocket,7570.634445794,1.4135,39,True
websocket,7570.655281853,1.2117,39,True
websocket,7570.676337241,1.2597,39,True
websocket,7570.697395541,1.3320,39,True
websocket,7570.718222905,1.2138,39,True
websocket,7570.739270223,1.2811,39,True
websocket,7570.7596119,1.3582,39,True
websocket,7570.780880897,1.5534,39,True
websocket,7570.801586404,1.2175,39,True
websocket,7570.822402709,1.2971,39,True
websocket,7570.843197698,1.3143,39,True
websocket,7570.864113052,1.4415,39,True
websocket,7570.884888658,1.4696,39,True
websocket,7570.905584947,1.5108,39,True
websocket,7570.925900525,1.1909,39,True
websocket,7570.946779777,1.4792,39,True
websocket,7570.967356983,1.3703,39,True
websocket,7570.987583081,1.2257,39,True
websocket,7571.008130262,1.3849,39,True
websocket,7571.028725907,1.4435,39,True
websocket,7571.049287945,1.2415,39,True
websocket,7571.07011342,1.3876,39,True
websocket,7571.090900837,1.3761,39,True
websocket,7571.111396415,1.1780,39,True
websocket,7571.132202799,1.1960,39,True
websocket,7571.152945737,1.2270,39,True
websocket,7571.17361982,1.2136,39,True
websocket,7571.193843828,1.2240,39,True
websocket,7571.214527014,1.1228,39,True
websocket,7571.23533601,1.1815,39,True
websocket,7571.256687157,1.7245,39,True
websocket,7571.276726378,1.2113,39,True
websocket,7571.297492536,1.1791,39,True
websocket,7571.318767781,1.6848,39,True
websocket,7571.338676676,1.2827,39,True
websocket,7571.358918101,1.2432,39,True
websocket,7571.379349172,1.2595,39,True
websocket,7571.400241645,1.3760,39,True
websocket,7571.420364526,1.2210,39,True
websocket,7571.441304822,1.5230,39,True
websocket,7571.461412695,1.1995,39,True
websocket,7571.482027892,1.1548,39,True
websocket,7571.502634427,1.2406,39,True
websocket,7571.523217973,1.3985,39,True
websocket,7571.544059643,1.5137,39,True
websocket,7571.564461552,1.5062,39,True
websocket,7571.584482645,1.1753,39,True
websocket,7571.605280092,1.1658,39,True
websocket,7571.626154968,1.3072,39,True
websocket,7571.646911475,1.3822,39,True
websocket,7571.667066988,1.1944,39,True
websocket,7571.687928808,1.5591,39,True
websocket,7571.708391853,1.2474,39,True
websocket,7571.729193469,1.2619,39,True
websocket,7571.74973919,1.1526,39,True
websocket,7571.770406414,1.5621,39,True
websocket,7571.790640479,1.1488,39,True
websocket,7571.811580345,1.3915,39,True
websocket,7571.832511909,1.5907,39,True
websocket,7571.852815036,1.1798,39,True
websocket,7571.873232771,1.1914,39,True
websocket,7571.89388874,1.1433,39,True
websocket,7571.914683247,1.1918,39,True
websocket,7571.935534848,1.2305,39,True
websocket,7571.956320977,1.2533,39,True
websocket,7571.976741778,1.3554,39,True
websocket,7571.997633318,1.4505,39,True
websocket,7572.018210069,1.2422,39,True
websocket,7572.039056527,1.3050,39,True
websocket,7572.05975694,1.2378,39,True
websocket,7572.080581658,1.7103,39,True
websocket,7572.100825177,1.2172,39,True
websocket,7572.121500404,1.1947,39,True
